,day,month,year,holiday,temp,increase,power
187,9,4,2017,1,26.8,-0.8587763622992431,41791
188,10,4,2017,0,27.7,15.17312339977507,48132
189,11,4,2017,0,28.7,5.198204936424832,50634
190,14,4,2017,0,23.6,-1.094289388777329,43836
191,15,4,2017,1,24.5,-3.234784195638289,42418
192,16,4,2017,1,26.0,-1.159884954500448,41926
193,17,4,2017,0,26.8,8.848924295186759,45636
194,18,4,2017,0,23.4,-3.5169602945043383,44031
195,19,4,2017,0,26.2,9.336603756444322,48142
196,20,4,2017,0,29.0,7.0042790079348585,51514
197,21,4,2017,0,28.3,1.028846527157666,52044
198,22,4,2017,1,22.7,0.0,52044
199,23,4,2017,1,21.6,-27.26154792098993,37856
200,24,4,2017,0,23.1,14.86422231614539,43483
201,25,4,2017,0,25.2,4.5558034174275,45464
202,26,4,2017,0,26.9,4.295706493049447,47417
203,27,4,2017,0,24.4,-4.489950861505367,45288
204,28,4,2017,0,23.9,-2.0491079314608727,44360
205,29,4,2017,1,24.9,-8.518935978358883,40581
206,30,4,2017,1,25.0,-16.707326088563615,33801
207,1,5,2017,1,27.7,-0.22484541877459246,33725
208,2,5,2017,0,28.4,24.112676056338028,41857
209,3,5,2017,0,29.0,21.198365864729915,50730
210,4,5,2017,0,29.7,5.742164399763454,53643
211,5,5,2017,0,27.8,-3.400257256305576,51819
212,6,5,2017,1,26.9,-4.376772998321078,49551
213,7,5,2017,1,28.1,-6.819236745978889,46172
214,8,5,2017,0,28.6,12.47725894481504,51933
215,9,5,2017,0,28.8,3.4043864209654746,53701
216,10,5,2017,0,28.3,1.1861976499506526,54338
217,11,5,2017,0,28.7,0.9183260333468292,54837
218,12,5,2017,0,25.8,-8.900924558236227,49956
219,13,5,2017,1,27.5,-5.270638161582194,47323
220,14,5,2017,1,28.4,-3.657840796230163,45592
221,15,5,2017,0,27.7,15.37111773995438,52600
222,16,5,2017,0,28.7,-0.09695817490494296,52549
223,17,5,2017,0,26.2,-3.2445907629070008,50844
224,18,5,2017,0,22.8,-9.483911572653607,46022
225,19,5,2017,0,21.7,-5.4734692103776466,43503
226,20,5,2017,1,25.8,-2.7883134496471507,42290
227,21,5,2017,1,26.6,3.551667060770868,43792
228,22,5,2017,0,29.1,20.334764340518817,52697
229,23,5,2017,0,30.1,10.118223048750403,58029
230,24,5,2017,0,27.6,-2.4970273483947683,56580
231,25,5,2017,0,26.6,-12.29939908094733,49621
232,26,5,2017,0,28.1,-1.0217448257794075,49114
233,27,5,2017,1,27.6,-1.011931424848312,48617
234,28,5,2017,1,27.8,-7.067486681613428,45181
235,29,5,2017,0,28.6,8.753679644098183,49136
236,30,5,2017,0,29.1,0.20351676978182998,49236
237,31,5,2017,0,30.0,21.18165569908197,59665
238,1,6,2017,0,32.5,5.49568423698986,62944
239,2,6,2017,0,34.6,13.820221148957806,71643
240,3,6,2017,1,36.1,-0.7830492860432979,71082
241,4,6,2017,1,36.2,0.6260375341155285,71527
242,5,6,2017,0,35.0,7.756511527115634,77075
243,6,6,2017,0,31.0,-10.314628608498216,69125
244,7,6,2017,0,26.2,-24.15623869801085,52427
245,8,6,2017,0,28.7,6.7961165048543695,55990
246,9,6,2017,0,29.1,0.3143418467583497,56166
247,10,6,2017,1,29.7,-5.5674251326425255,53039
248,11,6,2017,1,30.1,-3.6331755877750336,51112
249,12,6,2017,0,30.7,14.423227422131788,58484
250,13,6,2017,0,29.5,-2.5733533958005608,56979
251,14,6,2017,0,28.3,-4.208568068937678,54581
252,15,6,2017,0,30.7,7.464135871457101,58655
253,16,6,2017,0,31.6,3.4472764470207142,60677
254,17,6,2017,1,27.7,-16.325790662030094,50771
255,18,6,2017,1,27.7,-9.909200133934727,45740
256,19,6,2017,0,28.6,13.714473108876257,52013
257,20,6,2017,0,28.6,1.397727491204122,52740
258,21,6,2017,0,30.1,6.780432309442547,56316
259,22,6,2017,0,30.8,6.115491157042404,59760
260,23,6,2017,0,30.6,-0.0050200803212851405,59757
261,24,6,2017,1,31.2,-4.409525243904478,57122
262,25,6,2017,1,28.5,-9.250376387381396,51838
263,26,6,2017,0,29.5,8.470620008487982,56229
264,27,6,2017,0,30.1,2.715680520727738,57756
265,28,6,2017,0,29.1,-1.502874160260406,56888
266,29,6,2017,0,28.5,-0.9158346224159752,56367
267,30,6,2017,0,28.9,-11.237071336065428,50033
268,1,7,2017,1,30.4,5.616293246457339,52843
269,2,7,2017,1,30.4,-3.0240523815831803,51245
270,3,7,2017,0,29.6,11.171821641135722,56970
271,4,7,2017,0,29.7,0.3545725820607337,57172
